Id,Title,Description,Date,Duration,Type,Session,Track,Presenters,Materials
935,The SHiP experiment at CERN,"SHIP is a new general purpose fixed target facility, whose Technical Proposal has been recently reviewed by the CERN SPS Committee and by the CERN Research Board. The two boards recommended that the experiment proceeds further to a Comprehensive Design phase in the context of the new CERN Working group ""Physics Beyond Colliders"", aiming at presenting a CERN strategy for the European Strategy meeting of 2019. In its initial phase, the 400GeV proton beam extracted from the SPS will be dumped on a heavy target with the aim of integrating 2×10^20 pot in 5 years. A dedicated detector, based on a long vacuum tank followed by a spectrometer and particle identification detectors, will allow probing a variety of models with light long-lived exotic particles and masses below O(10) GeV /c2. The main focus will be the physics of the so-called Hidden Portals, i.e. search for Dark Photons, Light scalars and pseudo-scalars, and Heavy Neutrinos. The sensitivity to Heavy Neutrinos will allow for the first time to probe, in the mass range between the kaon and the charm meson mass, a coupling range for which Baryogenesis and active neutrino masses could also be explained. Another dedicated detector will allow the study of neutrino cross-sections and angular distributions. ντ deep inelastic scattering cross sections will be measured with a statistics 1000 times larger than currently available, with the extraction of the F4 and F5 structure functions, never measured so far and allow for new tests of lepton non-universality with sensitivity to BSM physics.",2017-08-23 14:00:00+00:00,30 minutes,Talk,Parallel session,Workshop on Future of Fundamental Physics - Accelerators in HEP and beyond,Walter Marcello Bonivento,
936,On the relationship between electromagnetic curvature and acceleration of charges,"Faraday introduced electric field lines as a powerful tool for understanding the electric force, and field lines are still used today in classrooms and textbooks teaching the basics of electromagnetism within the electrostatic limit. However, despite attempts at generalizing this concept beyond the electrostatic limit, there is currently no field line theory that can be consistent with the complete theory of electromagnetism.    This work will discuss the notion of covariant electromagnetic field lines. We will show that it naturally extends electric field lines to general relativistic systems and derive a closed-form formula for the field lines curvature.    The curvature of electromagnetic field lines completely determines the dynamics of any electric charge and may entail new insights regarding long-standing problems such as radiation-reaction and self-force. In particular, the electromagnetic field lines curvature has the attractive property of being non-singular everywhere, thus eliminates all self-field singularities without using renormalization techniques.    Time permitting, the relationship between field lines curvature to gravity and/or quantum system will be discussed.",2017-08-23 14:30:00+00:00,30 minutes,Talk,Parallel session,"D Cosmology, Astrophysics, Gravity, Mathematical Physics",Yaron Hadad,
939,Indirect dark-matter searches with gamma-rays experiments : status and future plans from 300 KeV to 100 TeV,"Detection of gamma rays and cosmic rays from the annihilation or decay of dark matter particles is a promising method for identifying dark matter, understanding its intrinsic properties, and mapping its distribution in the universe. I will review recent results from the Fermi Gamma-ray Space Telescope and other space-based experiments, and highlight the constraints these currently place on particle dark matter models. I will also discuss the prospects for indirect searches to robustly identify or exclude a dark matter signal using upcoming experiments at energies below Fermi ( ASTROGAM ) and above Fermi:  Magic, H.E.S.S. Veritas, CTA.",2017-08-25 07:00:00+00:00,30 minutes,Talk,"D Astroparticle, Cosmology,d Gravity, Math Phys",Special session on Astro-Cosmo-Gravity,Aldo Morselli,
940,Equation of state of quark gluon plasma using a phenomenological model,"We work on equation of state (EoS) of quark gluon plasma using a simple phenomenological model. In this model, a dynamical quark mass is used as a finite value. The results are significant and agree well with other theoretical results.",2017-08-26 12:00:00+00:00,30 minutes,Talk,Parallel session,B Heavy Ion Collisions and Critical Phenomena,yogesh kumar,
941,Wave function collaspe and gravity,"To make quantum theory consistent, models of spontaneous wave function collapse (collapse models) propose to modify the Schrödinger equation by including nonlinear and stochastic terms, which describe the collapse of the wave function in space. These spontaneous collapses are “rare” for microscopic systems, hence their quantum properties are left almost unaltered. At the same time, since the collapses add coherently in composite systems, macroscopic spatial superpositions of macro-objects are rapidly suppressed. I will review the main features of collapse models. In particular, I will discuss ideas to connect the collapse of the wave function to gravity: The Diosi-Penrose model, Adler’s model and the Schroedinger-Newton equation. Next, I will present an update of the most promising ways of testing them in interferometric and non-interferometric experiments, showing the current lower and upper bounds on their parameters.",2017-08-23 14:00:00+00:00,30 minutes,Talk,Workshop on Quantum Foundations and Quantum Information,Workshop on Quantum Foundations and Quantum Information,Angelo Bassi,
942,Geodesic mapping for non-symmetric gravitation theory (NGT) with torsion,"Connections with (skew-symmetric) torsion on a non-symmetric Riemannian    manifold satisfying the Einstein metricity condition (non-symmetric gravitation    theory (NGT) with torsion) are considered.    In the general case of a geodesic mapping $f$ of two NGT manifolds it is    impossible to obtain a generalization of the Weyl projective    curvature tensor. In the paper we study the case when these manifolds have the same torsion in corresponding points.Such a mapping we name ""equitorsion mapping"".    With respect to  curvature tensors we have    obtained quantities, that are generalizations of the Weyl tensor, i.e. they are invariants based on $f$.  All these    quantities are interesting in constructions of new mathematical and    physical structures.",2017-08-28 12:00:00+00:00,30 minutes,Talk,Special session on Astro-Cosmo-Gravity,Special session on Astro-Cosmo-Gravity,https://me.yahoo.com/a/NjbRTy15qdwcUkUX_tupKsRRNjAALA--#0d66d Zlatanovic,
946,Surrounding matter theory,"In this paper, S.M.T. (Surrounding Matter Theory), an alternative theory to dark matter, is presented. It is based on a modification of Newton’s law. This modification is done by multiplying a Newtonian potential by a given factor, which is varying with local distribution of matter, at the location where the gravitational force is exerted. With this new equation the model emphasizes that a gravitational force is roughly inversely proportional to mass density at the location where this force is applied. After presentation of the model, its dynamic is quickly illustrated by cosmology. Some possible caveats of the model are identified. But the simple mechanism described above suggests the idea of a solution to the following issues: virial theorem mystery, the value of cosmological critical density, the fine tuning issue, and expansion acceleration. A de Sitter Universe is predicted. The predicted time since last scattering is  . This study gives motivation for scientific comparisons with experimental data.",2017-08-21 16:30:00+00:00,1 hour,Poster,Poster session,Special session on Astro-Cosmo-Gravity,Frederic Lassiaille,
947,Search for the violation of Pauli principle at LNGS - first physics result of VIP2 experiment,"We search for x-rays from abnormal atomic orbit electron transitions that may violate the Pauli Exclusion Principle, in the VIP-2 experiment at Gran Sasso national laboratory. The candidate events come from a $2p$ electron transits into a $1s$ orbit which is occupied by two electrons. Such event, if exists, will have detectable energy difference from normal $2p-1s$ atomic transition by few hundreds of electron-volts in case it occurs in a copper atom, and the energy difference is expected to be the result of the electromagnetic shielding effect from the additional electron in the ground state.    The experimental setup with the complete detector system was mounted in the underground laboratory in 2015, and we started the physics run without the final passive lead shielding since October 2016.     From two months of data taking, we confirmed the performance of the apparatus that will fulfill the designed goal of the experiment. Moreover preliminary result from the first period of physics run already improved the upper limit set by the previous VIP experiment.",2017-08-21 16:30:00+00:00,1 hour,Talk,Poster session,"C Quantum Physics, Quantum Optics and Quantum Information",HEXI SHI,
948,PHENIX spin overview,"The spin program at the relativistic heavy ion collider RHIC set out to understand the contribution of gluon and sea quark spins to the total spin of the nucleon. In the PHENIX experiment gluon spins are being accessed via double longitudinal spin asymmetries of neutral final-state pions as well as other final state particles. Using center-of-mass collision energies from 62 to 510 GeV a clear, non-zero gluon polarization at intermediate x could be established. The analysis of final state particles in more forward rapidities also allows to study and constrain the spin contributions to lower x.    In order to access the sea quark spin contribution the production of real W bosons has been studied. The parity violation of the weak interactino allows to select the helicity of the participating quark-antiquark pair and the charge of the produced W boson selects the flavor. Single longitudinal spin asymmetries from leptonic W decays into electrons at central rapidities and muons at forward rapidities have been measured and indicate an asymmetric, polarized light sea.    Furthermore, large transverse single spin asymmetries once thought to be low energy effects persisted to the highest collision energies. They sparked substantial improvements in the understanding of the spin structure of the nucleon and its dynamics while the complete origin of these effects is still not entirely understood. Recent polarized proton-nucleus collisions allowed PHENIX to extend the asymmetry measurements to nucleii and new surprises, especially for forward neutron asymmetries were found.    This presentation will summarize the current status of the PHENIX spin program and a potential future extension.",2017-08-24 06:15:00+00:00,25 minutes,Talk,A Particle Physics,A High Energy Particle Physics:,Ralf Seidl,
950,Models of spontaneous wave function collapse: what they are and how they can be tested,"To make quantum theory consistent, models of spontaneous wave function collapse (collapse models) propose to modify the Schrödinger equation by including nonlinear and stochastic terms, which describe the collapse of the wave function in space. These spontaneous collapses are “rare” for microscopic systems, hence their quantum properties are left almost unaltered. At the same time, since these effects add coherently in composite systems, macroscopic spatial superpositions of macro-objects are rapidly suppressed. I will review the main features of collapse models, in a pedagogical way, by presenting the GRW (Ghirardi-Rimini-Weber) collapse model. Next, I will present an update of the most promising ways of testing them in interferometric and non-interferometric experiments, showing the current lower and upper bounds on their parameters.",2017-08-22 05:30:00+00:00,30 minutes,Talk,C Quantum Optics and Quantum Information,"C Quantum Physics, Quantum Optics and Quantum Information",Angelo Bassi,
